doctors,pharmacists,dentist,nurses,lab_scientists,midwifes,nurse_midwife,beds,state,ownership,registration_status,operational_days,ambulance_services
0,0,0,0,0,0,0,5,Abia,Public,Registered,All Day of The Week,0
0,0,0,0,0,0,0,4,Abia,Public,Registered,All Day of The Week,0
0,0,0,0,0,0,0,8,Abia,Public,Registered,All Day of The Week,0
0,0,0,0,0,0,0,8,Abia,Public,Registered,All Day of The Week,0
0,0,0,0,0,0,0,4,Abia,Public,Registered,All Day of The Week,0
0,0,0,0,0,0,0,3,Abia,Public,Registered,All Day of The Week,0
0,0,0,0,0,0,0,5,Abia,Public,Registered,All Day of The Week,0
0,0,0,0,0,0,0,8,Abia,Public,Unknown,All Day of The Week,0
12,3,0,10,6,0,15,5,Abia,Private,Registered,All Day of The Week,1
0,0,0,0,0,0,1,5,Abia,Public,Registered,All Day of The Week,0
0,0,0,0,0,0,0,5,Abia,Public,Registered,All Day of The Week,0
0,0,0,0,0,0,1,10,Abia,Public,Registered,All Day of The Week,0
0,0,0,0,0,0,0,7,Abia,Public,Registered,All Day of The Week,0
0,0,0,0,0,0,0,3,Abia,Public,Registered,All Day of The Week,0
0,0,0,0,0,0,0,3,Abia,Public,Unknown,All Day of The Week,0
